2023-07-24 21:07:654 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (e8d7146b421f7d267a4e0288d23d5f4a)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:777 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (e8d7146b421f7d267a4e0288d23d5f4a)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:42 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:325 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (8c60cb22ec458bb343fa10b5ae2ea654)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:379 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (8c60cb22ec458bb343fa10b5ae2ea654)] -> xpath: //select[@id='response']]
2023-07-24 21:07:447 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (8c60cb22ec458bb343fa10b5ae2ea654)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:566 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (8c60cb22ec458bb343fa10b5ae2ea654)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:957 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:73 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (3554253054ee603ae1799cc7d8c23ebe)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:128 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (3554253054ee603ae1799cc7d8c23ebe)] -> xpath: //select[@id='response']]
2023-07-24 21:07:277 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (3554253054ee603ae1799cc7d8c23ebe)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:391 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (3554253054ee603ae1799cc7d8c23ebe)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:656 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
